"receipt_type","count"
"currency_exposure","2"
"engine_step","12360"
"grid_inventory","12206"
"harvest_state","1"
"intent","15511"
"news_guard","1"
"order_request","341"
"order_result","30143"
"position_attribution","12206"
"revma_grid_add","14326"
"revma_grid_birth","844"
"revma_reentry_gate","1723"
"revma_signal","15170"
"run_end","1"
"run_start","2"
"stop_take_profit_guard","457"
"symbol_init","28"
