variant_id,activation_rule_id,protection_mode,cycle_id,pair,side,close_reason,start_timestamp_utc,close_timestamp_utc,anchor_week_open_utc,fill_count,adverse_fill_count,expansion_fill_count,price_pnl_adr,price_pnl_market_pct,price_pnl_usd,commission_usd,swap_usd,net_usd,min_pnl_adr,max_pnl_adr,min_pnl_market_pct,max_pnl_market_pct,min_pnl_timestamp_utc,max_pnl_timestamp_utc,first_mfe_0_5q_timestamp_utc,first_mfe_1q_timestamp_utc,first_mfe_2q_timestamp_utc,first_mfe_3q_timestamp_utc,first_mae_0_5q_timestamp_utc,first_mae_1q_timestamp_utc,first_mae_2q_timestamp_utc,first_mae_3q_timestamp_utc,reset_ordinal_at_start,completed_reset_ordinal,max_fill_age_days,cycle_spacing_adr,cycle_signal_adr_brick,reversion_target_price,reversion_target_band_adr,triangle_geometry_center_type,triangle_geometry_q_cost_adr,triangle_geometry_round_trip_cost_adr,triangle_geometry_p_raw_adr,triangle_geometry_p_cost_adr,triangle_geometry_b_cost_adr,triangle_geometry_q_bend_adr,triangle_geometry_q_floor_adr,triangle_geometry_floor_pin_ratio,triangle_geometry_surplus_bend_adr,triangle_geometry_surplus_quality,triangle_geometry_balance,triangle_geometry_quality,triangle_geometry_current_volatility_adr,triangle_geometry_add_spacing_mode,triangle_trigger_key,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,triangle_formulaic_directionless_geometry_v2_floorpin,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN|AUDCHF|SHORT|1,AUDCHF,SHORT,session_flatten,2019-04-16T13:02:00.000Z,2019-04-16T20:00:00.000Z,2019-04-14T23:00:00.000Z,5,4,0,-0.922759,-0.655683,-4.729992,-0.3,0.012257,-5.017735,-1.069,0.021445,-0.759597,0.015238,2019-04-16T17:11:00.000Z,2019-04-16T13:20:00.000Z,,,,,2019-04-16T13:10:00.000Z,2019-04-16T13:11:00.000Z,2019-04-16T13:42:00.000Z,2019-04-16T13:49:00.000Z,0,,0.290278,0.079421,0.025,0.71784,0.025,median_m1_close,0.05,0.0125,9.163804,5.388729,5.167513,0.079421,0.05,1.588414,5.067513,63.720518,0.998661,64.97795,0.009788,fixed_q,2019-04-14T23:00:00.000Z|AUDCHF|ny|2019-04-16|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|triangle_formulaic_directionless_geometry_v2_floorpin|SHORT|2019-04-16T13:02:00.000Z|range_0.886822|pe_1|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_9.163804|pcost_5.388729|bcost_5.167513|qbend_0.079421|qfloor_0.05|floorpin_1.588414|surplus_5.067513|sgq_63.720518|balance_0.998661|gq_64.97795|vol_0.009788|q_0.079421|brick_0.025|band_0.025|target_center_band,721AF445C5562DD77DA924F7F052D1B80C9B3CDEB9C83A688B1C9355C7E4A6D1
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,triangle_formulaic_directionless_geometry_v2_floorpin,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN|AUDCHF|SHORT|2,AUDCHF,SHORT,target,2019-04-17T13:02:00.000Z,2019-04-17T13:50:00.000Z,2019-04-14T23:00:00.000Z,2,1,0,0.341144,0.242406,1.760007,-0.12,0.000535,1.640541,-0.174503,0.341144,-0.123996,0.242406,2019-04-17T13:31:00.000Z,2019-04-17T13:50:00.000Z,2019-04-17T13:36:00.000Z,2019-04-17T13:37:00.000Z,2019-04-17T13:37:00.000Z,2019-04-17T13:40:00.000Z,2019-04-17T13:05:00.000Z,2019-04-17T13:21:00.000Z,,,0,1,0.033333,0.087664,0.025,0.72498,0.025,median_m1_close,0.05,0.0125,9.745258,5.889224,5.12182,0.087664,0.05,1.753275,5.02182,56.822458,0.991925,57.953969,0.009789,fixed_q,2019-04-14T23:00:00.000Z|AUDCHF|ny|2019-04-17|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|triangle_formulaic_directionless_geometry_v2_floorpin|SHORT|2019-04-17T13:02:00.000Z|range_0.974916|pe_1|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_9.745258|pcost_5.889224|bcost_5.12182|qbend_0.087664|qfloor_0.05|floorpin_1.753275|surplus_5.02182|sgq_56.822458|balance_0.991925|gq_57.953969|vol_0.009789|q_0.087664|brick_0.025|band_0.025|target_center_band,C965CF7DC0ECD3598ED27719DBD7A28084EC79797658651DCE1E24CA3F236D02
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,triangle_formulaic_directionless_geometry_v2_floorpin,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN|AUDCHF|LONG|3,AUDCHF,LONG,target,2019-04-17T14:03:00.000Z,2019-04-17T18:01:00.000Z,2019-04-14T23:00:00.000Z,3,2,0,0.709942,0.504462,3.65,-0.18,-0.044385,3.425615,-0.287672,0.709942,-0.204411,0.504462,2019-04-17T14:13:00.000Z,2019-04-17T18:01:00.000Z,2019-04-17T14:22:00.000Z,2019-04-17T14:23:00.000Z,2019-04-17T14:37:00.000Z,2019-04-17T14:51:00.000Z,2019-04-17T14:10:00.000Z,2019-04-17T14:11:00.000Z,2019-04-17T14:12:00.000Z,2019-04-17T14:13:00.000Z,0,1,0.165278,0.087664,0.025,0.72498,0.025,median_m1_close,0.05,0.0125,9.745258,5.889224,5.12182,0.087664,0.05,1.753275,5.02182,56.822458,0.991925,57.953969,0.009789,fixed_q,2019-04-14T23:00:00.000Z|AUDCHF|ny|2019-04-17|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|triangle_formulaic_directionless_geometry_v2_floorpin|LONG|2019-04-17T14:03:00.000Z|range_0.974916|pe_0.29588|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_9.745258|pcost_5.889224|bcost_5.12182|qbend_0.087664|qfloor_0.05|floorpin_1.753275|surplus_5.02182|sgq_56.822458|balance_0.991925|gq_57.953969|vol_0.009789|q_0.087664|brick_0.025|band_0.025|target_center_band,9F41D82991D53E1E1F47B0629F6CE64027F4A282090F92BAC1D97510E53F36ED
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,triangle_formulaic_directionless_geometry_v2_floorpin,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN|AUDCHF|LONG|4,AUDCHF,LONG,session_flatten,2019-04-17T18:19:00.000Z,2019-04-17T20:00:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.031078,0.022083,0.159997,-0.06,-0.006432,0.093565,-0.025252,0.036905,-0.017943,0.026224,2019-04-17T18:48:00.000Z,2019-04-17T19:29:00.000Z,,,,,,,,,1,,0.070139,0.087664,0.025,0.72498,0.025,median_m1_close,0.05,0.0125,9.745258,5.889224,5.12182,0.087664,0.05,1.753275,5.02182,56.822458,0.991925,57.953969,0.009789,fixed_q,2019-04-14T23:00:00.000Z|AUDCHF|ny|2019-04-17|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|triangle_formulaic_directionless_geometry_v2_floorpin|LONG|2019-04-17T18:19:00.000Z|range_0.974916|pe_0.061358|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_9.745258|pcost_5.889224|bcost_5.12182|qbend_0.087664|qfloor_0.05|floorpin_1.753275|surplus_5.02182|sgq_56.822458|balance_0.991925|gq_57.953969|vol_0.009789|q_0.087664|brick_0.025|band_0.025|target_center_band,08565EC157A41D11D44002DFECAE13CBC2D559FC91EEB6CAEE0405E309369C3A
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,triangle_formulaic_directionless_geometry_v2_floorpin,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN|AUDCHF|SHORT|5,AUDCHF,SHORT,target,2019-04-18T00:02:00.000Z,2019-04-18T00:31:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.075707,0.053795,0.390001,-0.06,0.000201,0.330202,-0.027176,0.075707,-0.01931,0.053795,2019-04-18T00:23:00.000Z,2019-04-18T00:31:00.000Z,2019-04-18T00:28:00.000Z,2019-04-18T00:31:00.000Z,,,,,,,1,2,0.020139,0.073721,0.025,0.72448,0.025,median_m1_close,0.05,0.0125,5.465806,3.18528,3.138296,0.073721,0.05,1.47442,3.038296,41.213454,1,42.56992,0.007831,fixed_q,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-18|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|triangle_formulaic_directionless_geometry_v2_floorpin|SHORT|2019-04-18T00:02:00.000Z|range_0.657775|pe_1|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_5.465806|pcost_3.18528|bcost_3.138296|qbend_0.073721|qfloor_0.05|floorpin_1.47442|surplus_3.038296|sgq_41.213454|balance_1|gq_42.56992|vol_0.007831|q_0.073721|brick_0.025|band_0.025|target_center_band,072870C3B29BD4387013942367ADA95BADF74280E365E3BD73737E26B7C39F14
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,triangle_formulaic_directionless_geometry_v2_floorpin,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN|AUDCHF|SHORT|6,AUDCHF,SHORT,target,2019-04-18T00:46:00.000Z,2019-04-18T00:59:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.067952,0.048284,0.349999,-0.06,0.00009,0.290089,-0.015533,0.067952,-0.011037,0.048285,2019-04-18T00:51:00.000Z,2019-04-18T00:59:00.000Z,2019-04-18T00:58:00.000Z,,,,,,,,2,3,0.009028,0.073721,0.025,0.72448,0.025,median_m1_close,0.05,0.0125,5.465806,3.18528,3.138296,0.073721,0.05,1.47442,3.038296,41.213454,1,42.56992,0.007831,fixed_q,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-18|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|triangle_formulaic_directionless_geometry_v2_floorpin|SHORT|2019-04-18T00:46:00.000Z|range_0.657775|pe_0.060111|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_5.465806|pcost_3.18528|bcost_3.138296|qbend_0.073721|qfloor_0.05|floorpin_1.47442|surplus_3.038296|sgq_41.213454|balance_1|gq_42.56992|vol_0.007831|q_0.073721|brick_0.025|band_0.025|target_center_band,2828B2A2EFC7C210F7ABE4B73CBC830C830729A280349EE1D4892ADADC218BD8
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,triangle_formulaic_directionless_geometry_v2_floorpin,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN|AUDCHF|SHORT|7,AUDCHF,SHORT,target,2019-04-18T01:09:00.000Z,2019-04-18T01:14:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.095132,0.067598,0.490003,-0.06,0.000035,0.430037,-0.007766,0.095132,-0.005518,0.067598,2019-04-18T01:10:00.000Z,2019-04-18T01:14:00.000Z,2019-04-18T01:12:00.000Z,2019-04-18T01:14:00.000Z,,,,,,,3,4,0.003472,0.073721,0.025,0.72448,0.025,median_m1_close,0.05,0.0125,5.465806,3.18528,3.138296,0.073721,0.05,1.47442,3.038296,41.213454,1,42.56992,0.007831,fixed_q,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-18|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|triangle_formulaic_directionless_geometry_v2_floorpin|SHORT|2019-04-18T01:09:00.000Z|range_0.657775|pe_0.03364|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_5.465806|pcost_3.18528|bcost_3.138296|qbend_0.073721|qfloor_0.05|floorpin_1.47442|surplus_3.038296|sgq_41.213454|balance_1|gq_42.56992|vol_0.007831|q_0.073721|brick_0.025|band_0.025|target_center_band,A3725AA1804670BC4FC74041ADC3346EF537B97ECCB99AD762323DA10A98AF12
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,triangle_formulaic_directionless_geometry_v2_floorpin,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN|AUDCHF|LONG|8,AUDCHF,LONG,target,2019-04-18T01:15:00.000Z,2019-04-18T01:17:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.06025,0.042812,0.309997,-0.06,-0.000127,0.24987,0,0.06025,0,0.042812,,2019-04-18T01:17:00.000Z,2019-04-18T01:16:00.000Z,,,,,,,,1,2,0.001389,0.073721,0.025,0.72448,0.025,median_m1_close,0.05,0.0125,5.465806,3.18528,3.138296,0.073721,0.05,1.47442,3.038296,41.213454,1,42.56992,0.007831,fixed_q,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-18|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|triangle_formulaic_directionless_geometry_v2_floorpin|LONG|2019-04-18T01:15:00.000Z|range_0.657775|pe_0.196218|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_5.465806|pcost_3.18528|bcost_3.138296|qbend_0.073721|qfloor_0.05|floorpin_1.47442|surplus_3.038296|sgq_41.213454|balance_1|gq_42.56992|vol_0.007831|q_0.073721|brick_0.025|band_0.025|target_center_band,FFC9579772EBEB635EB776D3CAA3C01AE1538FE66CC12FDD99ED4C7F7629DA3A
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,triangle_formulaic_directionless_geometry_v2_floorpin,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN|AUDCHF|SHORT|9,AUDCHF,SHORT,target,2019-04-18T01:32:00.000Z,2019-04-18T07:54:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.418316,0.297242,2.159999,-0.06,0.002653,2.102652,0,0.418316,0,0.297242,,2019-04-18T07:54:00.000Z,2019-04-18T01:35:00.000Z,2019-04-18T01:35:00.000Z,2019-04-18T01:40:00.000Z,2019-04-18T01:49:00.000Z,,,,,4,5,0.265278,0.073721,0.025,0.72448,0.025,median_m1_close,0.05,0.0125,5.465806,3.18528,3.138296,0.073721,0.05,1.47442,3.038296,41.213454,1,42.56992,0.007831,fixed_q,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-18|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|triangle_formulaic_directionless_geometry_v2_floorpin|SHORT|2019-04-18T01:32:00.000Z|range_0.657775|pe_0.224436|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_5.465806|pcost_3.18528|bcost_3.138296|qbend_0.073721|qfloor_0.05|floorpin_1.47442|surplus_3.038296|sgq_41.213454|balance_1|gq_42.56992|vol_0.007831|q_0.073721|brick_0.025|band_0.025|target_center_band,8FB9BD8BA3148AD2028654E0CA70E2A0E223E5921A9E2F166E5DB4B86058EC3B
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,triangle_formulaic_directionless_geometry_v2_floorpin,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN|AUDCHF|LONG|10,AUDCHF,LONG,target,2019-04-18T08:02:00.000Z,2019-04-18T12:02:00.000Z,2019-04-14T23:00:00.000Z,2,1,0,0.33458,0.237742,1.72,-0.12,-0.025154,1.574846,-0.093332,0.33458,-0.066319,0.237742,2019-04-18T09:27:00.000Z,2019-04-18T12:02:00.000Z,2019-04-18T08:17:00.000Z,2019-04-18T08:19:00.000Z,2019-04-18T09:55:00.000Z,2019-04-18T11:07:00.000Z,2019-04-18T08:44:00.000Z,2019-04-18T09:27:00.000Z,,,2,3,0.166667,0.073721,0.025,0.72448,0.025,median_m1_close,0.05,0.0125,5.465806,3.18528,3.138296,0.073721,0.05,1.47442,3.038296,41.213454,1,42.56992,0.007831,fixed_q,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-18|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|triangle_formulaic_directionless_geometry_v2_floorpin|LONG|2019-04-18T08:02:00.000Z|range_0.657775|pe_0.034191|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_5.465806|pcost_3.18528|bcost_3.138296|qbend_0.073721|qfloor_0.05|floorpin_1.47442|surplus_3.038296|sgq_41.213454|balance_1|gq_42.56992|vol_0.007831|q_0.073721|brick_0.025|band_0.025|target_center_band,4125ADC1D87F111E09C7F59B04BCF335E7CD8D6FA9DABBDB141253EB53BAFC71
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,triangle_formulaic_directionless_geometry_v2_floorpin,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN|AUDCHF|LONG|11,AUDCHF,LONG,target,2019-04-18T12:35:00.000Z,2019-04-18T12:42:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.10109,0.071832,0.520003,-0.06,-0.000446,0.459557,0,0.10109,0,0.071831,,2019-04-18T12:42:00.000Z,2019-04-18T12:37:00.000Z,2019-04-18T12:41:00.000Z,,,,,,,3,4,0.004861,0.073721,0.025,0.72448,0.025,median_m1_close,0.05,0.0125,5.465806,3.18528,3.138296,0.073721,0.05,1.47442,3.038296,41.213454,1,42.56992,0.007831,fixed_q,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-18|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_v2_cost_bend_center_band_2026_07_03|triangle_formulaic_directionless_geometry_v2_floorpin|LONG|2019-04-18T12:35:00.000Z|range_0.657775|pe_0.020159|center_median_m1_close|qcost_0.05|rtcost_0.0125|praw_5.465806|pcost_3.18528|bcost_3.138296|qbend_0.073721|qfloor_0.05|floorpin_1.47442|surplus_3.038296|sgq_41.213454|balance_1|gq_42.56992|vol_0.007831|q_0.073721|brick_0.025|band_0.025|target_center_band,12A200E913CE796754B7BE4C031470E8341E98C261C7630D4BFB61064E3D2172
