case_id,scope,normalized_symbol,variant_id,entries_total,entries_accepted,entries_rejected,accepted_pct,accepted_net_profit,rejected_net_profit,baseline_net_profit,net_delta_vs_baseline,accepted_profit_factor,baseline_profit_factor,profit_factor_delta,accepted_win_pct,terminal_liquidations_accepted,terminal_liquidations_baseline,terminal_liquidations_removed,avg_hold_hours_accepted,max_hold_hours_accepted,avg_geometry_quality_accepted,avg_side_distance_adr_accepted,verdict,content_hash
audcad_h1_type3_ma_changed_primary,primary,AUDCAD,baseline_all_limnihedge_v1,260,260,0,100,5140.6,0,5140.6,0,15.780334,15.780334,0,95,2,2,0,92.076289,2758.999444,11.314112,-0.244215,BASELINE,B83206484B467F7F44AD2C582A9C852B3031CBA1A699BBF12FA48298995AAED9
audcad_h1_type3_ma_changed_primary,primary,AUDCAD,h1_triangle_center_reversion_side,260,43,217,16.538462,1067.52,4073.08,5140.6,-4073.08,,15.780334,,100,0,2,2,82.208695,1370.999444,10.495765,0.17702,PROFILED_FILTER_LOSS,07711FE277B0BC769E7E97215BA7DF9AB7C7F1C7630994DECEA479ED67E1150C
audcad_h1_type3_ma_changed_primary,primary,AUDCAD,h1_triangle_v1_directionless,260,5,255,1.923077,127.27,5013.33,5140.6,-5013.33,,15.780334,,100,0,2,2,96.599389,351.999167,10.716598,0.357002,PROFILED_FILTER_LOSS,320ABB899EB30757F7AE78902E6AE596F25C30505E69AEE1B814D6E0D305896F
audcad_h1_type3_ma_changed_primary,primary,AUDCAD,h1_triangle_v2_geometry,260,16,244,6.153846,347.75,4792.85,5140.6,-4792.85,,15.780334,,100,0,2,2,61.936875,351.999167,9.790503,0.339055,PROFILED_FILTER_LOSS,2290E2B0364ECD830BB63B21B5A13CD3B190903B423EAE1B5CB15230AE1D244D
audcad_h1_type3_ma_changed_primary,primary,AUDCAD,h1_triangle_v21_floorpin,260,16,244,6.153846,347.75,4792.85,5140.6,-4792.85,,15.780334,,100,0,2,2,61.936875,351.999167,9.790503,0.339055,PROFILED_FILTER_LOSS,E7B7D3A97AE4C70FA70B33D1C3D279D940463A22A8A7C884E9D6EF775EBA7F7D
audcad_h1_type3_ma_changed_primary,primary,AUDCAD,h1_triangle_v21_surplus,260,16,244,6.153846,347.75,4792.85,5140.6,-4792.85,,15.780334,,100,0,2,2,61.936875,351.999167,9.790503,0.339055,PROFILED_FILTER_LOSS,C5D3B8E5B32904FF764A169120042F5AA9418C304EC681F5977B5B228453FDB5
audchf_h1_type3_secondary,secondary,AUDCHF,baseline_all_limnihedge_v1,386,386,0,100,3260.96,0,3260.96,0,10.156399,10.156399,0,92.227979,36,36,0,1456.504552,15490.999722,12.159321,-0.235089,BASELINE,D895A6FCEE0704842E22A936C3290642BCCF04EB5C89389BB12F71E15C386F91
audchf_h1_type3_secondary,secondary,AUDCHF,h1_triangle_center_reversion_side,386,61,325,15.803109,567.41,2693.55,3260.96,-2693.55,10.591109,10.156399,0.43471,95.081967,3,36,33,1438.523943,14008.999722,10.884812,0.193752,PROFILED_FILTER_LOSS,722946C700A7411EA1F57D7761A19CC330E9A25DC76FA3F9BED6A8DDB64D0A14
audchf_h1_type3_secondary,secondary,AUDCHF,h1_triangle_v1_directionless,386,6,380,1.554404,48.67,3212.29,3260.96,-3212.29,,10.156399,,100,0,36,36,331.499259,980.999444,9.793039,0.55383,PROFILED_FILTER_LOSS,A924C90CC49E3C0A06446781261C7F065D12444475CC20FDB01E3221F023D2D8
audchf_h1_type3_secondary,secondary,AUDCHF,h1_triangle_v2_geometry,386,20,366,5.181347,229.41,3031.55,3260.96,-3031.55,,10.156399,,100,0,36,36,1043.449292,9450.999167,9.401995,0.439029,PROFILED_FILTER_LOSS,BE853BAE8ED0128C6BC4F927E9F702FC81FE4E2BEF16E5B80D9177021762D6C0
audchf_h1_type3_secondary,secondary,AUDCHF,h1_triangle_v21_floorpin,386,19,367,4.92228,221.39,3039.57,3260.96,-3039.57,,10.156399,,100,0,36,36,1046.736126,9450.999167,9.069885,0.446388,PROFILED_FILTER_LOSS,05E459D4D7D2DECF12E29BE5EF51B381FF4FA7A5C9ABBFB4BF40F71F8ECA4CB4
audchf_h1_type3_secondary,secondary,AUDCHF,h1_triangle_v21_surplus,386,19,367,4.92228,221.39,3039.57,3260.96,-3039.57,,10.156399,,100,0,36,36,1046.736126,9450.999167,9.069885,0.446388,PROFILED_FILTER_LOSS,C34A23D995B119A6EACE6317D5DC8919C5FA9ABF6F1C340CDB185BA75FAE6C82
audjpy_h1_type3_primary,primary,AUDJPY,baseline_all_limnihedge_v1,1518,1518,0,100,11965.24,0,11965.24,0,39.570176,39.570176,0,99.275362,11,11,0,524.536251,15918.999444,10.947526,-0.264356,BASELINE,117F6C70B96B5F2F61B8F77F0D71CFAE85D1B82C63E2659E1D6CE8A6C335230E
audjpy_h1_type3_primary,primary,AUDJPY,h1_triangle_center_reversion_side,1518,231,1287,15.217391,2064.57,9900.67,11965.24,-9900.67,,39.570176,,100,0,11,11,716.570792,13327.999444,11.593445,0.20535,PROFILED_FILTER_LOSS,773A8C3506FCD3478B4E9217EF55F37C1288B479F64B660C198395BE854CA805
audjpy_h1_type3_primary,primary,AUDJPY,h1_triangle_v1_directionless,1518,25,1493,1.646904,244.99,11720.25,11965.24,-11720.25,,39.570176,,100,0,11,11,852.439367,11680.999444,12.257419,0.3919,PROFILED_FILTER_LOSS,04CDBC8D588A08BEC8080D237A789AE013C9DB3CE8291F1C827E159B01BF4BB3
audjpy_h1_type3_primary,primary,AUDJPY,h1_triangle_v2_geometry,1518,104,1414,6.85112,999.42,10965.82,11965.24,-10965.82,,39.570176,,100,0,11,11,955.57629,12080.999444,10.90133,0.363444,PROFILED_FILTER_LOSS,1532DBFCE8A987F2E5932AE14441A505FA501479A0B7DC6D615BF225D38A3261
audjpy_h1_type3_primary,primary,AUDJPY,h1_triangle_v21_floorpin,1518,99,1419,6.521739,949.5,11015.74,11965.24,-11015.74,,39.570176,,100,0,11,11,962.91856,12080.999444,10.239025,0.373773,PROFILED_FILTER_LOSS,0259B985083B4DCAE2F1DF145679EC997DCFD69E4880F35D270FC10F595E60B7
audjpy_h1_type3_primary,primary,AUDJPY,h1_triangle_v21_surplus,1518,99,1419,6.521739,949.5,11015.74,11965.24,-11015.74,,39.570176,,100,0,11,11,962.91856,12080.999444,10.239025,0.373773,PROFILED_FILTER_LOSS,5EF458230400A950EB70E707968D9383BC74957A6174E898E355388888917DBC
