metric,value
ea_name,LimniPortfolioEA
ea_version,0.1.16-gate99zze
build_gate,Gate99ZZE
build_scope,revma-grid-basket-tp-repair
config_hash,9316012684533088953
symbol_universe_hash,4953144744051298139
execution_mode,EXECUTION_TESTER_ONLY
enable_trading,true
allow_live_trading,false
open_order_routing_enabled,true
close_execution_enabled,false
account_close_execution_enabled,false
strategy_evaluation_enabled,true
news_guard_mode,NEWS_GUARD_DISABLED
news_calendar_file,LimniPortfolioEA\news_events.csv
week_boundary_description,No opens, closes, or grid adds during Sunday 17:00-17:59 EST and Friday 16:00-16:59 EST.
portfolio_harvest_governor_enabled,false
harvest_initial_target_money,0.00
harvest_trail_money,0.00
harvest_soft_lock_on_breach,false
harvest_grid_winddown_on_breach,false
harvest_arm_emergency_liquidation,false
currency_exposure_guard_enabled,false
active_system,revma-v001
revma_system_id,revma-v001
revma_system_name,Revma v001
revma_universe_mode,CURRENT_CHART
revma_sleeve_mode,REVMA_TREND_AND_MEAN_REVERSION
revma_formula_id,revma-pair-direction-grid-v001
revma_formula_hash,10675320455930833764
revma_pair_direction_formula_id,g99zv-pair-direction-exhaustion-v001
revma_pair_direction_formula_hash,8337305153952970193
revma_trend_sleeve_enabled,true
revma_mean_reversion_sleeve_enabled,true
revma_fixed_lots,0.0100
revma_grid_spacing_q,0.10
revma_intent_expiry_minutes,10
revma_q_profile,MEDIUM
revma_max_m1_bars,50000
revma_q_profile_id,MEDIUM_50000
revma_visual_dashboard,false
revma_dashboard_refresh_seconds,1
revma_dashboard_screenshot_on_divergent_add,false
stop_take_profit_mode,SINGLE_PAIR_Q_AFTER_FEES
take_profit_value,0.1000
stop_loss_value,0.0000
stop_take_profit_close_commission_per_lot,0.00
max_currency_signed_lots,5.00
max_currency_gross_lots,10.00
max_same_direction_grids_per_currency,4
max_managed_positions,200
max_single_order_lots,1.00
max_close_positions_per_step,10
news_minimum_impact,3
portfolio_asof,2026.01.01 00:00:00
balance,10000.00
equity,10000.00
margin,0.00
free_margin,10000.00
ea_floating_pnl,0.00
entry_group_floating_pnl,0.00
grid_group_floating_pnl,0.00
external_floating_pnl,0.00
open_position_count,0
managed_position_count,0
entry_group_position_count,0
grid_group_position_count,0
open_grid_count,0
external_position_count,0
unknown_managed_position_count,0
position_snapshot_hash,1469598103934665603
recovery_state,0
portfolio_asof,2026.01.02 23:58:59
balance,9998.94
equity,9998.94
margin,0.00
free_margin,9998.94
ea_floating_pnl,0.00
entry_group_floating_pnl,0.00
grid_group_floating_pnl,0.00
external_floating_pnl,0.00
open_position_count,0
managed_position_count,0
entry_group_position_count,0
grid_group_position_count,0
open_grid_count,0
external_position_count,0
unknown_managed_position_count,0
position_snapshot_hash,1469598103934665603
recovery_state,0
deinit_reason,1
engine_steps,1436
total_new_bars,1435
total_intents,1275
