week_start,week_end,decision_asof,pair,candidate_b_direction,candidate_b_score,base_currency,quote_currency,base_currency_direction_contribution,quote_currency_direction_contribution,formula_id,formula_hash,config_hash,source_manifest_hash,point_in_time_ok
2020-01-06,2020-01-13,2020-01-06,EURJPY,EUR over JPY,,EUR,JPY,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-06,2020-01-13,2020-01-06,EURNZD,EUR over NZD,,EUR,NZD,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-06,2020-01-13,2020-01-06,EURUSD,EUR over USD,,EUR,USD,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-06,2020-01-13,2020-01-06,GBPAUD,AUD over GBP,,GBP,AUD,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-06,2020-01-13,2020-01-06,GBPCAD,GBP over CAD,,GBP,CAD,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-06,2020-01-13,2020-01-06,GBPCHF,CHF over GBP,,GBP,CHF,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-06,2020-01-13,2020-01-06,GBPJPY,GBP over JPY,,GBP,JPY,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-06,2020-01-13,2020-01-06,GBPNZD,GBP over NZD,,GBP,NZD,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-06,2020-01-13,2020-01-06,GBPUSD,GBP over USD,,GBP,USD,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-06,2020-01-13,2020-01-06,NZDCAD,CAD over NZD,,NZD,CAD,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-06,2020-01-13,2020-01-06,NZDCHF,CHF over NZD,,NZD,CHF,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-06,2020-01-13,2020-01-06,NZDJPY,JPY over NZD,,NZD,JPY,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-06,2020-01-13,2020-01-06,NZDUSD,NZD over USD,,NZD,USD,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-06,2020-01-13,2020-01-06,USDCAD,CAD over USD,,USD,CAD,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-06,2020-01-13,2020-01-06,USDCHF,USD over CHF,,USD,CHF,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-06,2020-01-13,2020-01-06,USDJPY,JPY over USD,,USD,JPY,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-13,2020-01-20,2020-01-13,AUDCAD,AUD over CAD,,AUD,CAD,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-13,2020-01-20,2020-01-13,AUDCHF,CHF over AUD,,AUD,CHF,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-13,2020-01-20,2020-01-13,AUDJPY,AUD over JPY,,AUD,JPY,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-13,2020-01-20,2020-01-13,AUDNZD,AUD over NZD,,AUD,NZD,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-13,2020-01-20,2020-01-13,AUDUSD,AUD over USD,,AUD,USD,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-13,2020-01-20,2020-01-13,CADCHF,CHF over CAD,,CAD,CHF,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-13,2020-01-20,2020-01-13,CADJPY,JPY over CAD,,CAD,JPY,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-13,2020-01-20,2020-01-13,CHFJPY,CHF over JPY,,CHF,JPY,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-13,2020-01-20,2020-01-13,EURAUD,EUR over AUD,,EUR,AUD,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-13,2020-01-20,2020-01-13,EURCAD,EUR over CAD,,EUR,CAD,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-13,2020-01-20,2020-01-13,EURCHF,EUR over CHF,,EUR,CHF,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
2020-01-13,2020-01-20,2020-01-13,EURGBP,EUR over GBP,,EUR,GBP,,,candidate_b_macro_anchor_with_cot_warning,8C873CCCF9FA3D3A578EAC7160C8526EC25A0BEA528FE3C0A5304BE9413E6F01,5158742FE3E74221D1F2577A38F3169C6AF9B1FA7BC593B90C901A4F0E562390,7F79958D98422E14283202BD6396799D99C8820BB077DE7E98B2C5617BA1FF08,true
