basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,GBPJPY.i,SHORT,2026.01.06 00:14:00,2026.01.06 12:00:00,AGAINST,UP,1.218,5,211.784,211.662,211.553,211.553,211.553,212.040,212.005,212.005,211.662,211.657,211.662,MT5_ORDER_FILL,0.500000,-1.476769,0.608275,706.00,tp
2,GBPJPY.i,SHORT,2026.01.09 15:48:00,2026.01.09 19:25:00,AGAINST,UP,0.939,6,211.840,211.746,211.581,211.580,211.580,212.050,212.047,212.047,211.746,211.747,211.746,MT5_ORDER_FILL,0.600000,-1.411690,0.683488,217.00,tp
3,GBPJPY.i,SHORT,2026.01.22 19:20:00,2026.01.23 00:11:00,AGAINST,UP,1.389,4,213.621,213.482,213.417,213.417,213.417,213.834,213.814,213.814,213.482,213.726,213.482,MT5_ORDER_FILL,0.400000,-0.966813,0.455691,291.00,tp
4,GBPJPY.i,SHORT,2026.01.30 14:26:00,2026.01.30 15:30:00,AGAINST,UP,1.835,1,212.002,211.819,212.008,212.002,212.002,212.008,212.002,212.002,211.819,211.961,211.819,MT5_ORDER_FILL,0.100000,-0.055586,0.102452,64.00,tp
5,GBPJPY.i,SHORT,2026.01.30 17:48:00,2026.01.30 17:55:00,AGAINST,UP,1.835,1,211.991,211.808,211.991,211.991,211.991,211.991,211.991,211.991,211.808,211.772,211.808,MT5_ORDER_FILL,0.100000,-0.076294,0.129155,7.00,tp
6,GBPJPY.i,SHORT,2026.02.03 04:16:00,2026.02.05 05:35:00,AGAINST,UP,1.858,13,213.754,213.568,212.637,212.637,212.637,214.866,214.885,214.885,213.568,213.565,213.568,MT5_ORDER_FILL,1.300000,-8.730082,1.550388,2959.00,tp
7,GBPJPY.i,SHORT,2026.02.09 00:05:00,2026.02.09 00:06:00,AGAINST,UP,1.915,1,213.925,213.734,213.925,213.925,213.925,213.925,213.925,213.925,213.734,213.828,213.734,MT5_ORDER_FILL,0.100000,-0.004179,0.291460,1.00,tp
8,GBPJPY.i,SHORT,2026.03.02 08:19:00,2026.03.02 08:35:00,AGAINST,UP,1.663,1,210.205,210.039,210.205,210.205,210.205,210.205,210.205,210.205,210.039,210.073,210.039,MT5_ORDER_FILL,0.100000,-0.033077,0.105846,16.00,tp
9,GBPJPY.i,LONG,2026.04.23 20:55:00,2026.04.24 11:18:00,AGAINST,DOWN,1.113,3,215.140,215.251,215.075,215.091,215.091,214.868,215.155,215.155,215.251,215.260,215.251,MT5_ORDER_FILL,0.300000,-0.888350,0.318872,863.00,tp
