basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,EURCHF.i,SHORT,2026.03.13 00:10:00,2026.03.13 10:30:00,AGAINST,UP,0.00535,3,0.90428,0.90374,0.90393,0.90393,0.90393,0.90500,0.90446,0.90446,0.90374,0.90373,0.90374,MT5_ORDER_FILL,0.300000,-0.674640,0.345730,620.00,tp
2,EURCHF.i,SHORT,2026.03.18 14:26:00,2026.03.18 15:21:00,AGAINST,UP,0.00399,1,0.90715,0.90675,0.90716,0.90715,0.90715,0.90716,0.90715,0.90715,0.90675,0.90684,0.90675,MT5_ORDER_FILL,0.100000,-0.070246,0.107878,55.00,tp
3,EURCHF.i,LONG,2026.05.22 01:10:00,2026.05.26 09:33:00,AGAINST,DOWN,0.00231,19,0.91188,0.91211,0.91377,0.91393,0.91393,0.90977,0.90980,0.90980,0.91211,0.91218,0.91211,MT5_ORDER_FILL,1.900000,-18.391699,2.883701,6263.00,tp
4,EURCHF.i,LONG,2026.06.05 01:00:00,2026.06.05 11:10:00,AGAINST,DOWN,0.00354,4,0.91640,0.91675,0.91627,0.91682,0.91682,0.91576,0.91578,0.91578,0.91675,0.91677,0.91675,MT5_ORDER_FILL,0.400000,-0.788804,0.458015,610.00,tp
