variant_id,cutoff_hour_ny,profit_condition,source_trade_rows,overlay_trade_rows,closed_trade_rows,terminal_liquidations_remaining,open_inventory_count,weekly_cutoff_closures_count,carried_loss_count,carried_nonqualified_count,corrected_closed_net_actual,terminal_inventory_net_actual,terminal_inventory_loss_actual,corrected_closed_plus_marked_net_actual,corrected_profit_factor_closed_plus_marked,max_month_end_marked_dd_actual,worst_month,worst_marked_month_delta_actual,terminal_inventory_loss_share_of_closed_net,terminal_inventory_net_loss_share_of_closed_net,avg_hold_reduction_hours,avg_cutoff_closure_hold_reduction_hours,top_pair,top_pair_net_actual,top_pair_contribution_pct,top_3_pairs,top_3_pair_net_actual,top_3_pair_contribution_pct,stress_double_commission_net,stress_double_commission_profit_factor,stress_slippage_0_1_net,stress_slippage_0_1_profit_factor,baseline_closed_plus_marked_net_actual,baseline_terminal_loss_share_of_closed_net,baseline_top_pair_contribution_pct,baseline_top_3_pair_contribution_pct,baseline_stress_double_commission_net,baseline_stress_slippage_0_1_net,fixes_gate95r_failure_reason,concentration_not_worse,cost_fragility_not_worse,materially_improves_terminal_inventory,materially_improves_pair_concentration,decision_improved_row,decision_reason,content_hash
adr_event_0_025_type3_long_only,12,corrected_marked_net_gt_0,90164,90164,87334,2830,2830,6886,126365,126365,324976.41,-93882.98,-94567.14,231093.43,3.443697,-4102.68,2025-09,-4102.68,0.290997,0.288892,16.976868,222.291947,AUDUSD,37243.75,16.116317,AUDUSD|AUDCAD|NZDUSD,79252.19,34.294439,218470.47,3.300745,229595.4,3.426436,241798.06,0.293841,15.921975,34.452206,229175.1,240300.04,false,false,true,false,false,false,0_025_terminal_inventory_net_loss_share_not_below_25pct_closed_net;gate95r_failure_reason_not_fixed;concentration_worse_or_missing,33A64150FC1B82A9CF829A52E2F63C22DEBC23B6A245AE9CE1F88A027F0F5E01
adr_event_0_025_type3_long_only,14,corrected_marked_net_gt_0,90164,90164,87334,2830,2830,6886,126365,126365,324976.41,-93882.98,-94567.14,231093.43,3.443697,-4102.68,2025-09,-4102.68,0.290997,0.288892,16.824124,220.291947,AUDUSD,37243.75,16.116317,AUDUSD|AUDCAD|NZDUSD,79252.19,34.294439,218470.47,3.300745,229595.4,3.426436,241798.06,0.293841,15.921975,34.452206,229175.1,240300.04,false,false,true,false,false,false,0_025_terminal_inventory_net_loss_share_not_below_25pct_closed_net;gate95r_failure_reason_not_fixed;concentration_worse_or_missing,620416E87FF3B6F97FE350AA467B3AE674D8162A598F2F8FB90330CA72D424B3
adr_event_0_025_type3_long_only,16,corrected_marked_net_gt_0,90164,90164,87334,2830,2830,6886,126365,126365,324976.41,-93882.98,-94567.14,231093.43,3.443697,-4102.68,2025-09,-4102.68,0.290997,0.288892,16.67138,218.291947,AUDUSD,37243.75,16.116317,AUDUSD|AUDCAD|NZDUSD,79252.19,34.294439,218470.47,3.300745,229595.4,3.426436,241798.06,0.293841,15.921975,34.452206,229175.1,240300.04,false,false,true,false,false,false,0_025_terminal_inventory_net_loss_share_not_below_25pct_closed_net;gate95r_failure_reason_not_fixed;concentration_worse_or_missing,328432BB51C2C567AF8F35DE54E212EC55CFF0124840CACCAC99E68CF39D9EAF
adr_event_0_025_type3_long_only,18,corrected_marked_net_gt_0,90164,90164,87334,2830,2830,6886,126365,126365,324976.41,-93882.98,-94567.14,231093.43,3.443697,-4102.68,2025-09,-4102.68,0.290997,0.288892,16.518637,216.291947,AUDUSD,37243.75,16.116317,AUDUSD|AUDCAD|NZDUSD,79252.19,34.294439,218470.47,3.300745,229595.4,3.426436,241798.06,0.293841,15.921975,34.452206,229175.1,240300.04,false,false,true,false,false,false,0_025_terminal_inventory_net_loss_share_not_below_25pct_closed_net;gate95r_failure_reason_not_fixed;concentration_worse_or_missing,0EFD75770F8DEB918A57DD5C394A54B054FABFB8D3EF9E498E07EF3C8ECB7E79
adr_event_0_025_type3_long_only,12,corrected_marked_net_gt_1x_commission,90164,90164,87328,2836,2836,6478,126933,127362,326769.55,-94004.88,-94689.04,232764.67,3.458201,-4278.95,2025-09,-4278.95,0.289773,0.287679,15.469225,215.308306,AUDUSD,37332.29,16.03864,AUDUSD|AUDCAD|NZDUSD,79644.48,34.21674,220141.71,3.316016,231266.65,3.440962,241798.06,0.293841,15.921975,34.452206,229175.1,240300.04,false,false,true,false,false,false,0_025_terminal_inventory_net_loss_share_not_below_25pct_closed_net;gate95r_failure_reason_not_fixed;concentration_worse_or_missing,26C550E9F628ED992F9A8B8406B0C4B54152795475026BB2B2B42E5E7BC70935
adr_event_0_025_type3_long_only,14,corrected_marked_net_gt_1x_commission,90164,90164,87328,2836,2836,6478,126933,127362,326769.55,-94004.88,-94689.04,232764.67,3.458201,-4278.95,2025-09,-4278.95,0.289773,0.287679,15.325531,213.308306,AUDUSD,37332.29,16.03864,AUDUSD|AUDCAD|NZDUSD,79644.48,34.21674,220141.71,3.316016,231266.65,3.440962,241798.06,0.293841,15.921975,34.452206,229175.1,240300.04,false,false,true,false,false,false,0_025_terminal_inventory_net_loss_share_not_below_25pct_closed_net;gate95r_failure_reason_not_fixed;concentration_worse_or_missing,8B592009E7CBDF1D9D17961D06BAAC94882C3D8DE9A662378B20E8581DC0064E
adr_event_0_025_type3_long_only,16,corrected_marked_net_gt_1x_commission,90164,90164,87328,2836,2836,6478,126933,127362,326769.55,-94004.88,-94689.04,232764.67,3.458201,-4278.95,2025-09,-4278.95,0.289773,0.287679,15.181838,211.308306,AUDUSD,37332.29,16.03864,AUDUSD|AUDCAD|NZDUSD,79644.48,34.21674,220141.71,3.316016,231266.65,3.440962,241798.06,0.293841,15.921975,34.452206,229175.1,240300.04,false,false,true,false,false,false,0_025_terminal_inventory_net_loss_share_not_below_25pct_closed_net;gate95r_failure_reason_not_fixed;concentration_worse_or_missing,67C129D57E6059A4B6AF9FE51977CF257DC662CB23B22826D9C726F5F9C87215
adr_event_0_025_type3_long_only,18,corrected_marked_net_gt_1x_commission,90164,90164,87328,2836,2836,6478,126933,127362,326769.55,-94004.88,-94689.04,232764.67,3.458201,-4278.95,2025-09,-4278.95,0.289773,0.287679,15.038144,209.308306,AUDUSD,37332.29,16.03864,AUDUSD|AUDCAD|NZDUSD,79644.48,34.21674,220141.71,3.316016,231266.65,3.440962,241798.06,0.293841,15.921975,34.452206,229175.1,240300.04,false,false,true,false,false,false,0_025_terminal_inventory_net_loss_share_not_below_25pct_closed_net;gate95r_failure_reason_not_fixed;concentration_worse_or_missing,1B396189E241F3EF6374F13BA1018DD0E2982AFB68EB97AADEB4CB71E2AA4736
adr_event_0_05_type3_long_only,12,corrected_marked_net_gt_0,8912,8912,8558,354,354,1054,17650,17650,38325.06,-18525.58,-18605.05,19799.48,2.064199,-4623.87,2025-06,-4623.87,0.485454,0.48338,25.353769,214.37646,AUDCHF,9415.45,47.55403,AUDCHF|AUDCAD|AUDJPY,18315.43,92.504596,18551.8,1.99465,19618.62,2.054024,21203.43,0.47848,47.404787,90.979609,19955.75,21022.57,false,false,true,false,false,false,0_05_terminal_inventory_not_materially_improved;0_05_pair_concentration_not_materially_improved;gate95r_failure_reason_not_fixed;concentration_worse_or_missing,F45A1057AA09C0DE6EBAA75A0A8854006FC3A80570EBFE06D02D7F0EAF3388EE
adr_event_0_05_type3_long_only,14,corrected_marked_net_gt_0,8912,8912,8558,354,354,1054,17650,17650,38325.06,-18525.58,-18605.05,19799.48,2.064199,-4623.87,2025-06,-4623.87,0.485454,0.48338,25.117234,212.37646,AUDCHF,9415.45,47.55403,AUDCHF|AUDCAD|AUDJPY,18315.43,92.504596,18551.8,1.99465,19618.62,2.054024,21203.43,0.47848,47.404787,90.979609,19955.75,21022.57,false,false,true,false,false,false,0_05_terminal_inventory_not_materially_improved;0_05_pair_concentration_not_materially_improved;gate95r_failure_reason_not_fixed;concentration_worse_or_missing,A2BAC5F3D2FB3714B917821700D773334FF4D832E8E1EA6BE5F13AD3A6A4CEDB
adr_event_0_05_type3_long_only,16,corrected_marked_net_gt_0,8912,8912,8558,354,354,1054,17650,17650,38325.06,-18525.58,-18605.05,19799.48,2.064199,-4623.87,2025-06,-4623.87,0.485454,0.48338,24.880699,210.37646,AUDCHF,9415.45,47.55403,AUDCHF|AUDCAD|AUDJPY,18315.43,92.504596,18551.8,1.99465,19618.62,2.054024,21203.43,0.47848,47.404787,90.979609,19955.75,21022.57,false,false,true,false,false,false,0_05_terminal_inventory_not_materially_improved;0_05_pair_concentration_not_materially_improved;gate95r_failure_reason_not_fixed;concentration_worse_or_missing,BC69EEE50B46820D983A47699A365B5C6D6B50B309C68F2C4E6EA52438490900
adr_event_0_05_type3_long_only,18,corrected_marked_net_gt_0,8912,8912,8558,354,354,1054,17650,17650,38325.06,-18525.58,-18605.05,19799.48,2.064199,-4623.87,2025-06,-4623.87,0.485454,0.48338,24.644164,208.37646,AUDCHF,9415.45,47.55403,AUDCHF|AUDCAD|AUDJPY,18315.43,92.504596,18551.8,1.99465,19618.62,2.054024,21203.43,0.47848,47.404787,90.979609,19955.75,21022.57,false,false,true,false,false,false,0_05_terminal_inventory_not_materially_improved;0_05_pair_concentration_not_materially_improved;gate95r_failure_reason_not_fixed;concentration_worse_or_missing,B2ED5F2280EB2063F5109FB8DBEEB61B080BCFD378063F91F5A5587ABF6213B5
