variant_id,hedge_trigger,account_tp_usd,observer_time_ny,source_trade_rows,original_entries_preserved,corrected_closed_plus_marked_net_actual,corrected_profit_factor_closed_plus_marked,max_month_end_marked_dd_actual,worst_month,worst_marked_month_delta_actual,terminal_inventory_net_actual,terminal_inventory_loss_actual,terminal_inventory_loss_share_of_closed_net,terminal_inventory_net_loss_share_of_closed_net,terminal_open_original_count,terminal_open_hedge_count,terminal_open_inventory_count,hedge_open_count,hedge_source_pair_close_count,account_tp_flush_count,account_tp_flushed_original_count,account_tp_flushed_hedge_count,observer_count,carried_red_original_checks,locked_loss_at_hedge_open_total,avg_locked_loss_at_hedge_open,hedge_net_actual,original_net_while_hedged_actual,avg_hedge_hold_hours,max_open_original_count,max_open_hedge_count,max_gross_lots,baseline_max_gross_lots,max_gross_lot_ratio,top_pair,top_pair_contribution_pct,top_3_pairs,top_3_pair_contribution_pct,stress_double_commission_net,stress_double_commission_profit_factor,stress_slippage_0_1_net,stress_slippage_0_1_profit_factor,baseline_closed_plus_marked_net_actual,baseline_terminal_inventory_net_loss_share_of_closed_net,baseline_top_pair_contribution_pct,baseline_top_3_pair_contribution_pct,fixes_gate95r_failure_reason,gross_exposure_guard_pass,concentration_not_worse,materially_improves_terminal_inventory,materially_improves_pair_concentration,cost_fragility_not_worse,decision_improved_row,decision_reason,content_hash
adr_event_0_025_type3_long_only,corrected_marked_net_lt_0,25,16:00 America/New_York,90164,90164,-5290.38,0.977265,-7651.59,2025-04,-2152.52,-9212.98,-51196.98,13.051806,2.348694,1681,1487,3168,25375,23368,11,1058,520,368,25375,-99925.53,-3.937952,-136887.3,33368.3,476.278362,2366,2221,91.16,51.56,1.768037,AUDJPY,,AUDJPY|AUDUSD|CADJPY,,-16658.1,0.929527,-6658.43,0.971442,241798.06,0.293841,15.921975,34.452206,false,false,false,false,false,false,false,corrected_closed_plus_marked_net_not_positive;terminal_inventory_net_loss_share_not_below_25pct_closed_net;max_gross_lot_ratio_gt_guard;concentration_worse_or_missing;cost_fragility_worse_or_missing;gate95r_failure_reason_not_fixed,2CB6240B4EAB0BC228A9B79858F6254DE331E8A7632FFFDABDC2E231A87683AB
adr_event_0_025_type3_long_only,corrected_marked_net_lt_0,50,16:00 America/New_York,90164,90164,-5290.38,0.977265,-7651.59,2025-04,-2152.52,-9212.98,-51196.98,13.051806,2.348694,1681,1487,3168,25375,23368,11,1058,520,368,25375,-99925.53,-3.937952,-136887.3,33368.3,476.278362,2366,2221,91.16,51.56,1.768037,AUDJPY,,AUDJPY|AUDUSD|CADJPY,,-16658.1,0.929527,-6658.43,0.971442,241798.06,0.293841,15.921975,34.452206,false,false,false,false,false,false,false,corrected_closed_plus_marked_net_not_positive;terminal_inventory_net_loss_share_not_below_25pct_closed_net;max_gross_lot_ratio_gt_guard;concentration_worse_or_missing;cost_fragility_worse_or_missing;gate95r_failure_reason_not_fixed,8291626588216F49719BF9DCE4939267D4C45A3F711C885B9A416DFE2E96955D
adr_event_0_025_type3_long_only,corrected_marked_net_lt_0,100,16:00 America/New_York,90164,90164,-5240.89,0.977492,-7651.59,2025-04,-2152.52,-9212.98,-51196.98,12.889167,2.319426,1681,1487,3168,25423,23376,9,1020,560,368,25423,-99992.87,-3.933166,-136810.93,33217.56,475.439161,2366,2221,91.16,51.56,1.768037,AUDJPY,,AUDJPY|AUDUSD|CADJPY,,-16615.33,0.929754,-6609.98,0.971668,241798.06,0.293841,15.921975,34.452206,false,false,false,false,false,false,false,corrected_closed_plus_marked_net_not_positive;terminal_inventory_net_loss_share_not_below_25pct_closed_net;max_gross_lot_ratio_gt_guard;concentration_worse_or_missing;cost_fragility_worse_or_missing;gate95r_failure_reason_not_fixed,0A307AE88462C6E364CFADB71FFAC533246B671B971729F696C3C42460114859
adr_event_0_025_type3_long_only,corrected_marked_net_lt_0,250,16:00 America/New_York,90164,90164,-5228.39,0.978182,-7743,2025-04,-2179.08,-9662.73,-58512.13,13.195225,2.179067,1769,1575,3344,25493,23767,5,417,151,368,25493,-100196.87,-3.930368,-132509.29,28601.37,536.055028,2523,2378,97.44,51.56,1.889837,AUDJPY,,AUDJPY|AUDUSD|CADJPY,,-16612.63,0.931723,-6599.85,0.972511,241798.06,0.293841,15.921975,34.452206,false,false,false,false,false,false,false,corrected_closed_plus_marked_net_not_positive;terminal_inventory_net_loss_share_not_below_25pct_closed_net;max_gross_lot_ratio_gt_guard;concentration_worse_or_missing;cost_fragility_worse_or_missing;gate95r_failure_reason_not_fixed,C8F65C218A13C99EB4DE232F618191C97CA1C2C85598DDA476A526C4C2627328
adr_event_0_025_type3_long_only,corrected_marked_net_lt_minus_1x_commission,25,16:00 America/New_York,90164,90164,-4718.86,0.979661,-7274.41,2025-04,-2097.67,-9315.45,-51200.95,11.138904,2.026601,1681,1483,3164,24843,22845,11,1058,515,368,25719,-101221.47,-4.074446,-136315.78,31576.98,485.321682,2366,2220,91.08,51.56,1.766486,AUDJPY,,AUDJPY|AUDUSD|CADJPY,,-16012.1,0.932042,-6078.43,0.973851,241798.06,0.293841,15.921975,34.452206,false,false,false,false,false,false,false,corrected_closed_plus_marked_net_not_positive;terminal_inventory_net_loss_share_not_below_25pct_closed_net;max_gross_lot_ratio_gt_guard;concentration_worse_or_missing;cost_fragility_worse_or_missing;gate95r_failure_reason_not_fixed,2AFF4625BCEBB395773BC3ED8867D0C3107D321F5784E17CFEF511AC3AB601C9
adr_event_0_025_type3_long_only,corrected_marked_net_lt_minus_1x_commission,50,16:00 America/New_York,90164,90164,-4718.86,0.979661,-7274.41,2025-04,-2097.67,-9315.45,-51200.95,11.138904,2.026601,1681,1483,3164,24843,22845,11,1058,515,368,25719,-101221.47,-4.074446,-136315.78,31576.98,485.321682,2366,2220,91.08,51.56,1.766486,AUDJPY,,AUDJPY|AUDUSD|CADJPY,,-16012.1,0.932042,-6078.43,0.973851,241798.06,0.293841,15.921975,34.452206,false,false,false,false,false,false,false,corrected_closed_plus_marked_net_not_positive;terminal_inventory_net_loss_share_not_below_25pct_closed_net;max_gross_lot_ratio_gt_guard;concentration_worse_or_missing;cost_fragility_worse_or_missing;gate95r_failure_reason_not_fixed,B0486AFF7EE9063574B0B5D5DA1928F8C4E91F7A84985DC31D742F8974634930
adr_event_0_025_type3_long_only,corrected_marked_net_lt_minus_1x_commission,100,16:00 America/New_York,90164,90164,-4654,0.979952,-7274.41,2025-04,-2097.67,-9315.45,-51200.95,10.98392,1.998403,1681,1483,3164,24887,22853,9,1020,551,368,25765,-101280.72,-4.069623,-136224.04,31419.59,484.521285,2366,2220,91.08,51.56,1.766486,AUDJPY,,AUDJPY|AUDUSD|CADJPY,,-15953.4,0.93233,-6014.53,0.974141,241798.06,0.293841,15.921975,34.452206,false,false,false,false,false,false,false,corrected_closed_plus_marked_net_not_positive;terminal_inventory_net_loss_share_not_below_25pct_closed_net;max_gross_lot_ratio_gt_guard;concentration_worse_or_missing;cost_fragility_worse_or_missing;gate95r_failure_reason_not_fixed,87E3B5FF2D9C9DFD13A9FF4F1B812F0D053E0DC658E619CFAE65D777277D29DD
adr_event_0_025_type3_long_only,corrected_marked_net_lt_minus_1x_commission,250,16:00 America/New_York,90164,90164,-4576.85,0.980409,-7275.17,2025-04,-2098.43,-9315.45,-51200.95,10.805094,1.965868,1681,1483,3164,24923,23030,6,721,410,368,25804,-101439.46,-4.070114,-134668.92,29701.71,485.720153,2366,2220,91.08,51.56,1.766486,AUDJPY,,AUDJPY|AUDUSD|CADJPY,,-15881.29,0.933055,-5938.12,0.974631,241798.06,0.293841,15.921975,34.452206,false,false,false,false,false,false,false,corrected_closed_plus_marked_net_not_positive;terminal_inventory_net_loss_share_not_below_25pct_closed_net;max_gross_lot_ratio_gt_guard;concentration_worse_or_missing;cost_fragility_worse_or_missing;gate95r_failure_reason_not_fixed,D63F7B500EBC36FDED072EFA064008799382816260E108A7AA5810973081D4A4
adr_event_0_05_type3_long_only,corrected_marked_net_lt_0,25,16:00 America/New_York,8912,8912,-1189.64,0.970099,-2193.15,2025-08,-484.74,-1762.69,-13205.19,23.043909,3.075999,288,273,561,3611,3322,1,28,16,368,3611,-13758.73,-3.810227,-14973.56,680.43,675.801389,444,408,17.02,9.02,1.886918,AUDCAD,,AUDCAD|GBPJPY|CHFJPY,,-2663,0.933933,-1408.98,0.964656,21203.43,0.47848,47.404787,90.979609,false,false,false,false,false,false,false,corrected_closed_plus_marked_net_not_positive;terminal_inventory_net_loss_share_not_below_25pct_closed_net;max_gross_lot_ratio_gt_guard;concentration_worse_or_missing;cost_fragility_worse_or_missing;0_05_terminal_inventory_not_materially_improved;0_05_pair_concentration_not_materially_improved;gate95r_failure_reason_not_fixed,C8CDE0A84966E9333B70EEE4C6CC66D95FDDA5E87848E74F7D06BEA5869FFED5
adr_event_0_05_type3_long_only,corrected_marked_net_lt_0,50,16:00 America/New_York,8912,8912,-1189.64,0.970099,-2193.15,2025-08,-484.74,-1762.69,-13205.19,23.043909,3.075999,288,273,561,3611,3322,1,28,16,368,3611,-13758.73,-3.810227,-14973.56,680.43,675.801389,444,408,17.02,9.02,1.886918,AUDCAD,,AUDCAD|GBPJPY|CHFJPY,,-2663,0.933933,-1408.98,0.964656,21203.43,0.47848,47.404787,90.979609,false,false,false,false,false,false,false,corrected_closed_plus_marked_net_not_positive;terminal_inventory_net_loss_share_not_below_25pct_closed_net;max_gross_lot_ratio_gt_guard;concentration_worse_or_missing;cost_fragility_worse_or_missing;0_05_terminal_inventory_not_materially_improved;0_05_pair_concentration_not_materially_improved;gate95r_failure_reason_not_fixed,5115831A6CA9F578C89350D409D821E2D1805D3F9B6C1CE7F4F30F2FCFE7D09D
