variant_id,close_reason,event_count,realized_or_open_adr,fill_count,content_hash
HEDGED_GRID_V2_RAW_PRICE_ANCHOR,target,28297,31940.162404,113754,562B6366F8DAAA5FEA8A2B980A34BCCE49A0789B234BD67A115D6E61737CAA43
HEDGED_GRID_V2_RAW_PRICE_ANCHOR,sample_end,11327,-32069.49199,58814,BDD8AFABA3D1659D69F0DA6E79618891614CB3C1678DC4EB12359B7201AACFED
HEDGED_GRID_V2_GRID_CAP_3_PRICE_ANCHOR,target,25155,28202.238439,101289,D21F91F392FE80E4E6E9A3CC02F0A3A6BB5F3AF0A588D808E56F8B9E4BA0CF17
HEDGED_GRID_V2_GRID_CAP_3_PRICE_ANCHOR,sample_end,9226,-28149.50214,49983,64FE504E89B12F9FDF6F30EE99784EB8001836349D877D951E579A4644900963
