variant_id,candle_stream_id,direction_mode,closed_trades,open_inventory_rows,terminal_liquidations,net_usd_model,gross_profit_usd_model,gross_loss_usd_model,profit_factor,win_pct,expectancy_usd_model,avg_hold_hours,median_hold_hours,p95_hold_hours,max_hold_hours,max_simultaneous_open,balance_dd_usd_model,equity_dd_usd_model,pair_count_traded,positive_pair_count,terminal_loss_share_of_net,content_hash
adr_event_0_075_candidate_b_fade_strict,adr_event_0_075,candidate_b_fade_strict,3016,99,99,14888.83,16652.76,-1763.93,9.440733,97.612732,4.936616,255.167748,21.832778,825.816111,8594.083333,120,0,-4667.54583,6,6,0.118473,2E7A079D6C83ACF4B171B744524CBCE2E020BB25A26CA9FAF2F4820BDCC035C1
adr_event_0_075_type3_both_no_direction,adr_event_0_075,type3_both_no_direction,4226,125,125,21547.35,23358.84,-1811.48,12.894877,98.154283,5.098759,234.690055,21.832778,823.549444,8594.083333,129,0,-4667.54583,6,6,0.08407,2B9DD788C5529107CE5AEEE453ED641897D852964C54AE4527B4D1C9F8CCF967
adr_event_0_075_type3_long_only,adr_event_0_075,type3_long_only,2621,118,118,10340.47,12070.36,-1729.89,6.977522,97.29111,3.945238,333.331321,48.716111,1434.966111,8594.083333,129,0,-4667.54583,4,4,0.167293,13D3EDB637FEB72EB94068F06C649A5D5A509D45A0C5D3956DAB9987C2BEA236
adr_event_0_075_type3_short_only,adr_event_0_075,type3_short_only,1605,7,7,11206.88,11288.47,-81.59,138.356928,99.563863,6.982483,73.606716,6.449444,288.049444,5685.982778,27,0,-1149.800877,2,2,0.00728,9155B132720689F9A9F5BD78FCE2008ACAFED8EC0B2E8CB15FBFE55D1F18BE74
adr_event_0_10_candidate_b_agreement_strict,adr_event_0_10,candidate_b_agreement_strict,292,11,11,1497.14,1507.13,-10,150.764153,98.972603,5.127186,303.085652,31.449444,1687.416667,4368.799444,29,0,-476.972824,2,2,0.006677,37F656414DF2507DA39F86B5F0D639C79F6B8DCA4770B849A26D72BFF3B72884
adr_event_0_10_candidate_b_fade_strict,adr_event_0_10,candidate_b_fade_strict,560,38,38,2545.69,3447,-901.32,3.824412,94.642857,4.545869,503.469809,25.299444,5686.916111,8594.083333,63,0,-2390.221267,2,2,0.354056,23700F3A302FC3CE068254F984C24172FEB972C64481EE9D254AFA6909D7BAFE
adr_event_0_10_type3_both_no_direction,adr_event_0_10,type3_both_no_direction,852,49,49,4042.83,4954.14,-911.31,5.436268,96.126761,4.7451,434.793549,26.599444,2608.099444,8594.083333,73,0,-2390.221267,2,2,0.225415,6191BDCD06BB96C76D4D21DC15BE57988747D8A5894540F4DB1088465BC717D1
adr_event_0_10_type3_long_only,adr_event_0_10,type3_long_only,388,43,43,755.13,1631.67,-876.54,1.86149,92.525773,1.946207,822.508784,78.599444,6929.533333,8594.083333,73,0,-2390.221267,1,1,1.16078,826C2D9AE42DC90A1DCF4862CDCAB7126D29FE20C8E2E0026D7BA19055832618
adr_event_0_10_type3_short_only,adr_event_0_10,type3_short_only,464,6,6,3287.7,3322.47,-34.77,95.542718,99.137931,7.085554,110.583395,7.449444,366.249444,6079.516111,18,0,-926.405464,1,1,0.010577,84641759D9D88710025D225A98289C14F1D33CAD84D5BF6B71E9F2E80A69DBD1
time_h1_candidate_b_agreement_strict,time_h1,candidate_b_agreement_strict,83,8,8,264.84,360.82,-95.98,3.759268,97.590361,3.19081,473.758614,171.999444,2211,8164,15,0,-154.900018,3,2,0.362415,A50F21B729B276E38D675D6F69BDAF3B61F18D49E4CE5F967ED6E651182F5815
time_h1_candidate_b_fade_strict,time_h1,candidate_b_fade_strict,461,45,45,204.8,2079.97,-1875.17,1.109217,91.75705,0.444251,601.708901,67,5412.999444,10100,23,0,-1400.430222,3,1,9.156112,4D29D94374DC94263FEEB3558B54266930B8281990E240EB2840621337F543A4
time_h1_type3_both_no_direction,time_h1,type3_both_no_direction,544,53,53,469.64,2440.79,-1971.15,1.238255,92.647059,0.863303,582.187074,77.999444,4421,10100,29,0,-1530.459224,3,2,4.197178,11E2EA432FE494F2B011C91EA215073D84413B9C57DD2C4625752F25BF01B6C9
time_h1_type3_long_only,time_h1,type3_long_only,544,53,53,469.64,2440.79,-1971.15,1.238255,92.647059,0.863303,582.187074,77.999444,4421,10100,29,0,-1530.459224,3,2,4.197178,0F5DE56C559A8A83002B16E976A14D9A1014D62C10735E694A9AD2E76D6F72CF
time_h1_type3_short_only,time_h1,type3_short_only,0,0,0,0,0,0,,0,,,,,,0,0,0,0,0,,0E04E0D4575CD58121A1EA76975BF5B2345A43DBC18230DCC8099E5E7AC8ED9C
