candidate_b_context_bucket,variant_id,trades,net_usd_model,profit_factor,terminal_liquidations,avg_hold_hours,content_hash
adr_event_0_025_candidate_b_agreement_strict|agree,adr_event_0_025_candidate_b_agreement_strict,82715,-25291973.96,0.341351,5221,346.552852,4BCA3619AC2FD3020FEA6B962E75ABA3A554349CF02E93A026582BB119B5CCA7
adr_event_0_025_candidate_b_fade_strict|fade,adr_event_0_025_candidate_b_fade_strict,96739,784162.92,1.101065,3202,280.785515,0C1F0A2FD4950F1FBD7DD0B97FE4E7A81DBCE4B1E66D71BA37506A4BE29F0683
adr_event_0_025_type3_both_no_direction|agree,adr_event_0_025_type3_both_no_direction,82715,-25291973.96,0.341351,5221,346.552852,6BAA93514219157D6EA65A4BC113F0B3667A89CD16B7C602939AFD8759252250
adr_event_0_025_type3_both_no_direction|fade,adr_event_0_025_type3_both_no_direction,96739,784162.92,1.101065,3202,280.785515,786EBA20FFF6694534431A2513B5780256ED11F6899B466B34DCF7EE22771149
adr_event_0_025_type3_long_only|agree,adr_event_0_025_type3_long_only,27093,2771908.22,31.654344,786,183.349424,6AC06E8DB029023BF1AA2A8F5AA01E8B525487A1D3E7F156ED149B3BA2EDAF1B
adr_event_0_025_type3_long_only|fade,adr_event_0_025_type3_long_only,63071,6539271.26,40.526808,2147,291.258357,3CFFF7DCB82C24EDD7075156A3B6FE7824629BF591E0F08268BA1161B5AC1107
adr_event_0_025_type3_short_only|agree,adr_event_0_025_type3_short_only,55622,-28063882.18,0.267441,4435,426.047844,D491BD763D10BDFE74B07DF9CAF900E952FAD0415891814B361D76C560D65788
adr_event_0_025_type3_short_only|fade,adr_event_0_025_type3_short_only,33668,-5755108.34,0.242105,1055,261.166512,BE3DBAFA25D24747A1F6CB31F9BAB48C947C97E2D518EF420C6445AC0E0395FE
adr_event_0_05_candidate_b_agreement_strict|agree,adr_event_0_05_candidate_b_agreement_strict,8867,-2908487.34,0.533462,563,342.142205,96A26FFC555D15B142A50B980F05EECC68793309A597109EE5D14C1CD7077E9E
adr_event_0_05_candidate_b_fade_strict|fade,adr_event_0_05_candidate_b_fade_strict,11062,370806.11,9.431,426,312.603014,41B2D54485E056464DD23987797D5790DCAFE4EBC77EB746A20E3EA6F043EC99
adr_event_0_05_type3_both_no_direction|agree,adr_event_0_05_type3_both_no_direction,8867,-2908487.34,0.533462,563,342.142205,E679F3652783A128342F391851BE16B9951B9B6EE921510B6D33C3F0F25D48A1
adr_event_0_05_type3_both_no_direction|fade,adr_event_0_05_type3_both_no_direction,11062,370806.11,9.431,426,312.603014,086DAB5E21CB21B615285CE7DEB9A2906F13A1583AB4F292B43695C18CBE64C4
adr_event_0_05_type3_long_only|agree,adr_event_0_05_type3_long_only,2219,636429.96,2058.917097,23,195.682333,4BA3F4B91CDA57F4AD7B87026543689CD59448F28A22E18B223375F10C99F0CA
adr_event_0_05_type3_long_only|fade,adr_event_0_05_type3_long_only,6693,217198.33,13.076536,346,426.656346,B4635556B2FA12CF8D26215974EFA68E3E83DC717B9F3A7578BCF775A77087FA
