variant_id,activation_rule_id,cycle_id,pair,side,close_reason,start_timestamp_utc,close_timestamp_utc,anchor_week_open_utc,fill_count,adverse_fill_count,expansion_fill_count,price_pnl_adr,price_pnl_usd,commission_usd,swap_usd,net_usd,min_pnl_adr,max_pnl_adr,reset_ordinal_at_start,completed_reset_ordinal,max_fill_age_days,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|EURUSD|SHORT|1,EURUSD,SHORT,session_flatten,2022-01-12T07:26:00.000Z,2022-01-12T21:00:00.000Z,2022-01-10T00:00:00.000Z,7,6,0,-4.528038,-31.890029,-0.42,0.019715,-32.290314,-4.766214,0.142062,0,,0.565278,7924696A533929744C0754DF5CD6E0D9BC186C8CC7D8ECF45CB49F232F90E678
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|EURUSD|SHORT|2,EURUSD,SHORT,target,2022-01-12T23:05:00.000Z,2022-01-13T20:57:00.000Z,2022-01-10T00:00:00.000Z,3,2,0,0.271786,1.929999,-0.18,0.020062,1.770061,-1.0152,0.449593,0,1,0.911111,0F151ED0FDCE75A0711718A18699BE6D93A062B896CAB6CA8EB1532F32B2FEB8
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|EURUSD|SHORT|3,EURUSD,SHORT,target,2022-01-13T23:40:00.000Z,2022-01-14T00:53:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.110058,0.780001,-0.06,0.000507,0.720508,-0.004232,0.110058,1,2,0.050694,C2D81F5E57ED17DE81C9C227E3C740278655B245405904FB7A589331CDFC93B7
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|EURUSD|SHORT|4,EURUSD,SHORT,target,2022-01-14T00:57:00.000Z,2022-01-14T09:28:00.000Z,2022-01-10T00:00:00.000Z,2,1,0,0.17612,1.250002,-0.12,0.006125,1.136127,-0.458428,0.17612,2,3,0.354861,81E284B92AEBEC0260F0223C903BD9A1338D814BA9BC05D43B15C673ECFD0FAF
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|EURUSD|LONG|5,EURUSD,LONG,session_flatten,2022-01-14T10:59:00.000Z,2022-01-14T16:00:00.000Z,2022-01-10T00:00:00.000Z,3,2,0,-0.227065,-1.609998,-0.18,-0.032095,-1.822093,-0.625682,0.279903,0,,0.209028,4AB7E6B135AFC537C3F643552914ED13DC69093556EEC323822CE83E28FC7BCF
