"receipt_type","count"
"currency_exposure","2"
"engine_step","18764"
"grid_inventory","18481"
"harvest_state","1"
"intent","22539"
"news_guard","1"
"order_request","493"
"order_result","43769"
"position_attribution","18481"
"revma_grid_add","20886"
"revma_grid_birth","1160"
"revma_reentry_gate","2356"
"revma_signal","22046"
"run_end","1"
"run_start","2"
"stop_take_profit_guard","609"
"symbol_init","28"
